timestamp,idea,impact,effort,autonomy_tier,guardrail_reason,action_taken,model_used
2026-08-03T16:26:41.635679+00:00,"IT asset returns from leaving employees are tracked via email notes, causing unr",M,M,auto_file,Low impact/effort combination — within auto-approval guardrail.,Auto-filed to backlog,n/a (rule-based decision only)
2026-08-03T16:26:41.635899+00:00,Access requests for sensitive shared folders are approved via verbal or Slack co,L,M,flag_for_review,High business impact — always requires human sign-off.,Flagged for human review; draft feasibility assessment attached,claude-sonnet-5
2026-08-03T16:26:47.665039+00:00,SaaS renewal dates and seat counts are managed across disparate department folde,M,M,auto_file,Low impact/effort combination — within auto-approval guardrail.,Auto-filed to backlog,n/a (rule-based decision only)
2026-08-03T16:26:47.665177+00:00,"Address and emergency contact updates are submitted via PDF forms, requiring HR ",S,S,auto_file,Low impact/effort combination — within auto-approval guardrail.,Auto-filed to backlog,n/a (rule-based decision only)
2026-08-03T16:26:47.665213+00:00,Annual leave balances must be calculated manually in a spreadsheet whenever an e,M,M,auto_file,Low impact/effort combination — within auto-approval guardrail.,Auto-filed to backlog,n/a (rule-based decision only)
2026-08-03T16:26:47.665236+00:00,Performance review forms are filled out in Word documents and stored in local fo,L,L,flag_for_review,High business impact — always requires human sign-off.,Flagged for human review; draft feasibility assessment attached,claude-sonnet-5
2026-08-03T16:26:52.535401+00:00,"Employee tenure milestones and probation end dates are tracked on a whiteboard, ",M,S,auto_file,Low impact/effort combination — within auto-approval guardrail.,Auto-filed to backlog,n/a (rule-based decision only)
2026-08-03T16:26:52.535541+00:00,Benefits enrollment requires employees to fill out paper forms that HR manually ,L,L,flag_for_review,High business impact — always requires human sign-off.,Flagged for human review; draft feasibility assessment attached,claude-sonnet-5
2026-08-03T16:27:00.576891+00:00,Parental leave requests require manual calculation of paid vs. unpaid time off a,M,M,auto_file,Low impact/effort combination — within auto-approval guardrail.,Auto-filed to backlog,n/a (rule-based decision only)
2026-08-03T16:27:00.577041+00:00,Verification of employment letters are drafted manually from scratch for every l,S,S,auto_file,Low impact/effort combination — within auto-approval guardrail.,Auto-filed to backlog,n/a (rule-based decision only)
2026-08-03T16:27:00.577080+00:00,"Sick leave reporting relies on employees messaging managers directly, leaving HR",M,M,auto_file,Low impact/effort combination — within auto-approval guardrail.,Auto-filed to backlog,n/a (rule-based decision only)
2026-08-03T16:27:00.577091+00:00,"Employee handbooks are distributed as static PDFs, making it impossible to track",L,M,flag_for_review,High business impact — always requires human sign-off.,Flagged for human review; draft feasibility assessment attached,claude-sonnet-5
2026-08-03T16:27:06.210393+00:00,Workplace injury reports are logged via printed paper forms that must be physica,L,M,flag_for_review,High business impact — always requires human sign-off.,Flagged for human review; draft feasibility assessment attached,claude-sonnet-5
2026-08-03T16:27:14.522272+00:00,"Candidate interview feedback is gathered through informal Slack messages, leavin",M,M,auto_file,Low impact/effort combination — within auto-approval guardrail.,Auto-filed to backlog,n/a (rule-based decision only)
2026-08-03T16:27:14.522388+00:00,Recruiter interview scheduling requires back-and-forth emails because calendars ,M,M,auto_file,Low impact/effort combination — within auto-approval guardrail.,Auto-filed to backlog,n/a (rule-based decision only)
2026-08-03T16:27:14.522396+00:00,Job postings must be manually copied and pasted onto five different job boards i,M,M,auto_file,Low impact/effort combination — within auto-approval guardrail.,Auto-filed to backlog,n/a (rule-based decision only)
2026-08-03T16:27:14.522403+00:00,Candidate reference checks are conducted via phone calls with manual notes taken,S,M,auto_file,Low impact/effort combination — within auto-approval guardrail.,Auto-filed to backlog,n/a (rule-based decision only)
2026-08-03T16:27:14.522409+00:00,Offer letter creation requires manually re-entering candidate details from the A,M,M,auto_file,Low impact/effort combination — within auto-approval guardrail.,Auto-filed to backlog,n/a (rule-based decision only)
2026-08-03T16:27:14.522415+00:00,Background check status updates must be manually checked on the vendor portal an,M,L,flag_for_review,Medium impact but large delivery effort — requires sign-off before committing resource.,Flagged for human review,n/a (rule-based decision only)
2026-08-03T16:27:14.522421+00:00,"Candidate rejection emails are sent individually by recruiters, causing long del",L,S,flag_for_review,High business impact — always requires human sign-off.,Flagged for human review; draft feasibility assessment attached,claude-sonnet-5
2026-08-03T16:27:26.248389+00:00,"Employee referral submissions are sent via email to HR, leading to lost records ",M,M,auto_file,Low impact/effort combination — within auto-approval guardrail.,Auto-filed to backlog,n/a (rule-based decision only)
2026-08-03T16:27:26.248567+00:00,Interview prep kits and candidate briefs are emailed as attachments rather than ,S,S,auto_file,Low impact/effort combination — within auto-approval guardrail.,Auto-filed to backlog,n/a (rule-based decision only)
2026-08-03T16:27:26.248589+00:00,Sourcing metrics and time-to-hire data are calculated manually by exporting raw ,M,M,auto_file,Low impact/effort combination — within auto-approval guardrail.,Auto-filed to backlog,n/a (rule-based decision only)
2026-08-03T16:27:26.248597+00:00,Non-Disclosure Agreements (NDAs) are drafted manually for standard third parties,M,M,auto_file,Low impact/effort combination — within auto-approval guardrail.,Auto-filed to backlog,n/a (rule-based decision only)
2026-08-03T16:27:26.248607+00:00,"Contract redlines are managed through back-and-forth Word attachments via email,",M,L,flag_for_review,Medium impact but large delivery effort — requires sign-off before committing resource.,Flagged for human review,n/a (rule-based decision only)
2026-08-03T16:27:26.248618+00:00,Executed contracts are stored across individual local drives rather than a centr,L,L,flag_for_review,High business impact — always requires human sign-off.,Flagged for human review; draft feasibility assessment attached,claude-sonnet-5
2026-08-03T16:27:33.333488+00:00,"Contract expiration and auto-renewal dates are tracked manually, risking unwante",L,M,flag_for_review,High business impact — always requires human sign-off.,Flagged for human review; draft feasibility assessment attached,claude-sonnet-5
2026-08-03T16:27:38.734838+00:00,"Standard contract templates are updated locally by team members, resulting in ou",L,M,flag_for_review,High business impact — always requires human sign-off.,Flagged for human review; draft feasibility assessment attached,claude-sonnet-5
2026-08-03T16:27:45.019168+00:00,"Signature requests are printed, physically signed, scanned, and emailed back ins",M,S,auto_file,Low impact/effort combination — within auto-approval guardrail.,Auto-filed to backlog,n/a (rule-based decision only)
2026-08-03T16:27:45.019319+00:00,"External legal counsel invoices are reviewed without centralized tracking, makin",M,M,auto_file,Low impact/effort combination — within auto-approval guardrail.,Auto-filed to backlog,n/a (rule-based decision only)
2026-08-03T16:27:45.019360+00:00,"Compliance training completion rates are tracked via manual spreadsheets, making",L,M,flag_for_review,High business impact — always requires human sign-off.,Flagged for human review; draft feasibility assessment attached,claude-sonnet-5
2026-08-03T16:27:51.392768+00:00,Trademark renewal deadlines are maintained on an individual lawyer's outlook cal,L,S,flag_for_review,High business impact — always requires human sign-off.,Flagged for human review; draft feasibility assessment attached,claude-sonnet-5
2026-08-03T16:28:00.440444+00:00,Subpoena and data subject access requests (DSARs) require manually searching thr,L,L,flag_for_review,High business impact — always requires human sign-off.,Flagged for human review; draft feasibility assessment attached,claude-sonnet-5
